"block","observer","plot","visit","sampling_period","obs_year","dp_march","min_post_sunrise","species"
"halsingdal","jkn","plot_62","fifth","first","2018",62,74.3,"gardg"
"halsingdal","jkn","plot_62","fifth","first","2018",62,73.2166666666667,"koltt"
"halsingdal","jkn","plot_64","fifth","first","2018",62,200.983333333333,"bofik"
"halsingdal","jkn","plot_64","fifth","first","2018",62,199.233333333333,"trake"
"halsingdal","jkn","plot_65","fifth","first","2018",62,178.883333333333,"no_obs"
"halsingdal","jkn","plot_66","fifth","first","2018",62,241.433333333333,"no_obs"
"halsingdal","jkn","plot_67","fifth","first","2018",62,95.65,"no_obs"
"halsingdal","jkn","plot_68","fifth","first","2018",62,115.816666666667,"svars"
"halsingdal","jkn","plot_68","fifth","first","2018",62,114.05,"gardg"
"halsingdal","jkn","plot_68","fifth","first","2018",62,114.45,"grafe"
"halsingdal","jkn","plot_68","fifth","first","2018",62,114.983333333333,"bofik"
"halsingdal","jkn","plot_68","fifth","first","2018",62,118.083333333333,"talla"
"halsingdal","jkn","plot_69","fifth","first","2018",62,138.1,"gardg"
"halsingdal","jkn","plot_69","fifth","first","2018",62,140.016666666667,"blams"
"halsingdal","jkn","plot_69","fifth","first","2018",62,140.65,"talge"
"stenby","jkn","plot_71","fifth","first","2018",62,323.9,"bofik"
"stenby","jkn","plot_71","fifth","first","2018",62,325.75,"talge"
"stenby","jkn","plot_71","fifth","first","2018",62,326.65,"blams"
"stenby","jkn","plot_72","fifth","first","2018",62,285.133333333333,"svare"
"sodersjon","jkn","plot_100","second","first","2017",32,26.65,"talge"
"sodersjon","jkn","plot_100","second","first","2017",32,29.4833333333333,"rodhe"
"sodersjon","jkn","plot_117","second","first","2017",32,320.15,"rodhe"
"sodersjon","jkn","plot_117","second","first","2017",32,319.65,"bofik"
"sodersjon","jkn","plot_117","second","first","2017",32,322.433333333333,"domhe"
"sodersjon","jkn","plot_117","second","first","2017",32,319.416666666667,"talge"
"sodersjon","jkn","plot_117","second","first","2017",32,320.933333333333,"kungl"
"ravsta","ses","plot_211","second","first","2017",32,112,"talge"
"ravsta","ses","plot_211","second","first","2017",32,115,"gronk"
"ravsta","ses","plot_211","second","first","2017",32,111,"bofik"
"sodersjon","jkn","plot_89","second","first","2017",32,277.2,"blams"
"sodersjon","jkn","plot_89","second","first","2017",32,277.533333333333,"rodhe"
"sodersjon","jkn","plot_89","second","first","2017",32,278.55,"talge"
"sodersjon","jkn","plot_89","second","first","2017",32,280.483333333333,"gardg"
"sodersjon","jkn","plot_90","second","first","2017",32,242.383333333333,"rodhe"
"sodersjon","jkn","plot_90","second","first","2017",32,242.816666666667,"tofss"
"sodersjon","jkn","plot_91","second","first","2017",32,204.516666666667,"talge"
"sodersjon","jkn","plot_91","second","first","2017",32,207.45,"grona"
"sodersjon","jkn","plot_94","second","first","2017",32,133.533333333333,"rodhe"
"sodersjon","jkn","plot_94","second","first","2017",32,135.6,"bofik"
"sodersjon","jkn","plot_94","second","first","2017",32,135.683333333333,"grona"
"sodersjon","jkn","plot_94","second","first","2017",32,136.85,"talge"
"sodersjon","jkn","plot_95","second","first","2017",32,170.25,"rodhe"
"sodersjon","jkn","plot_95","second","first","2017",32,172.016666666667,"talge"
"sodersjon","jkn","plot_98","second","first","2017",32,98.2833333333333,"rodhe"
"sodersjon","jkn","plot_98","second","first","2017",32,98.4666666666667,"bofik"
"sodersjon","jkn","plot_98","second","first","2017",32,98.5166666666667,"talge"
"sodersjon","jkn","plot_99","second","first","2017",32,67.1,"talge"
"sodersjon","jkn","plot_99","second","first","2017",32,63.4333333333333,"bofik"
"soderlejde","jkn","plot_12","fourth","first","2017",63,176.566666666667,"no_obs"
"soderlejde","jkn","plot_13","fourth","first","2017",63,146.166666666667,"trapa"
"soderlejde","jkn","plot_17","fourth","first","2017",63,75.0833333333333,"talge"
"soderlejde","jkn","plot_19","fourth","first","2017",63,1.58333333333333,"no_obs"
"soderlejde","jkn","plot_20","fourth","first","2017",63,35.6166666666667,"talge"
"soderlejde","jkn","plot_20","fourth","first","2017",63,36.7666666666667,"blams"
"soderlejde","jkn","plot_20","fourth","first","2017",63,34.6833333333333,"bofik"
"halqved","jkn","plot_33","fourth","first","2017",63,222.633333333333,"bofik"
"halqved","jkn","plot_33","fourth","first","2017",63,223.666666666667,"talge"
"halqved","jkn","plot_36","fourth","first","2017",63,256.35,"rodhe"
"halqved","jkn","plot_36","fourth","first","2017",63,259.366666666667,"bofik"
"halqved","jkn","plot_4","fourth","first","2017",63,324.283333333333,"talla"
"halqved","jkn","plot_4","fourth","first","2017",63,324.8,"rodhe"
"halqved","jkn","plot_4","fourth","first","2017",63,328.966666666667,"kungl"
"halqved","jkn","plot_4","fourth","first","2017",63,325.6,"bofik"
"soderlejde","jkn","plot_5","fourth","first","2017",63,111.866666666667,"talge"
"soderlejde","jkn","plot_5","fourth","first","2017",63,112.666666666667,"blams"
"soderlejde","jkn","plot_5","fourth","first","2017",63,109.8,"bofik"
"halsingdal","jkn","plot_120","second","first","2017",33,254.166666666667,"no_obs"
"halsingdal","jkn","plot_121","second","first","2017",33,183.966666666667,"rodhe"
"halsingdal","jkn","plot_61","second","first","2017",33,145.866666666667,"jarnv"
"halsingdal","jkn","plot_61","second","first","2017",33,143.45,"bofik"
"halsingdal","jkn","plot_61","second","first","2017",33,143.1,"rodhe"
"halsingdal","jkn","plot_62","second","first","2017",33,105.183333333333,"kungl"
"halsingdal","jkn","plot_62","second","first","2017",33,109.7,"bofik"
"halsingdal","jkn","plot_62","second","first","2017",33,106.833333333333,"grona"
"halsingdal","jkn","plot_62","second","first","2017",33,107.983333333333,"talge"
"halsingdal","jkn","plot_62","second","first","2017",33,106.25,"gardg"
"halsingdal","jkn","plot_64","second","first","2017",33,219,"bofik"
"halsingdal","jkn","plot_64","second","first","2017",33,222.916666666667,"talge"
"halsingdal","jkn","plot_65","second","first","2017",33,291.716666666667,"tofss"
"halsingdal","jkn","plot_65","second","first","2017",33,292.583333333333,"talge"
"halsingdal","jkn","plot_65","second","first","2017",33,291.35,"rodhe"
"halsingdal","jkn","plot_66","second","first","2017",33,332.866666666667,"grona"
"halsingdal","jkn","plot_66","second","first","2017",33,332.6,"rodhe"
"halsingdal","jkn","plot_66","second","first","2017",33,331.65,"jarnv"
"halsingdal","jkn","plot_66","second","first","2017",33,331.416666666667,"bofik"
"halsingdal","jkn","plot_67","second","first","2017",33,68.6666666666667,"talge"
"halsingdal","jkn","plot_67","second","first","2017",33,67.3333333333333,"taltt"
"halsingdal","jkn","plot_68","second","first","2017",33,30.6833333333333,"bofik"
"halsingdal","jkn","plot_68","second","first","2017",33,30.85,"kungl"
"halsingdal","jkn","plot_68","second","first","2017",33,30.55,"svars"
"halsingdal","jkn","plot_69","second","first","2017",33,-6.21666666666667,"bofik"
"halsingdal","jkn","plot_69","second","first","2017",33,-4,"tofss"
"kyrkstigen","jkn","plot_118","fourth","first","2017",64,266.8,"blams"
"kyrkstigen","jkn","plot_118","fourth","first","2017",64,268.783333333333,"svare"
"kyrkstigen","jkn","plot_118","fourth","first","2017",64,268.2,"ringa"
"kyrkstigen","jkn","plot_50","fourth","first","2017",64,128.35,"talge"
"kyrkstigen","jkn","plot_50","fourth","first","2017",64,127.133333333333,"rodhe"
"kyrkstigen","jkn","plot_52","fourth","first","2017",64,92,"rodhe"
"kyrkstigen","jkn","plot_52","fourth","first","2017",64,92.9333333333333,"talge"
"kyrkstigen","jkn","plot_53","fourth","first","2017",64,60.4166666666667,"tofss"
"kyrkstigen","jkn","plot_53","fourth","first","2017",64,60.1166666666667,"bofik"
"kyrkstigen","jkn","plot_53","fourth","first","2017",64,59.8166666666667,"svars"
"kyrkstigen","jkn","plot_55","fourth","first","2017",64,20.9833333333333,"bofik"
"kyrkstigen","jkn","plot_55","fourth","first","2017",64,17.4666666666667,"rodhe"
"kyrkstigen","jkn","plot_56","fourth","first","2017",64,232.933333333333,"talge"
"kyrkstigen","jkn","plot_56","fourth","first","2017",64,229.816666666667,"rodhe"
"kyrkstigen","jkn","plot_58","fourth","first","2017",64,185.333333333333,"bofik"
"kyrkstigen","jkn","plot_58","fourth","first","2017",64,182.833333333333,"rodhe"
"kyrkstigen","jkn","plot_60","fourth","first","2017",64,315.65,"notva"
"kyrkstigen","jkn","plot_60","fourth","first","2017",64,315.25,"stort"
"stocksatra","jkn","plot_104","first","first","2017",4,228.65,"talge"
"stocksatra","jkn","plot_104","first","first","2017",4,229.183333333333,"talla"
"stocksatra","jkn","plot_104","first","first","2017",4,229.516666666667,"tofss"
"stocksatra","jkn","plot_104","first","first","2017",4,230.083333333333,"bofik"
"stocksatra","jkn","plot_123","first","first","2017",4,137.4,"bofik"
"stocksatra","jkn","plot_123","first","first","2017",4,136.866666666667,"talge"
"stocksatra","jkn","plot_123","first","first","2017",4,139.483333333333,"tofss"
"stocksatra","jkn","plot_123","first","first","2017",4,140.533333333333,"kungl"
"stocksatra","jkn","plot_46","first","first","2017",4,186.083333333333,"bofik"
"stocksatra","jkn","plot_46","first","first","2017",4,187.083333333333,"kungl"
"stocksatra","jkn","plot_49","first","first","2017",4,285.733333333333,"bofik"
"stocksatra","jkn","plot_49","first","first","2017",4,287.2,"grona"
"stocksatra","jkn","plot_49","first","first","2017",4,283.65,"talge"
"stocksatra","jkn","plot_49","first","first","2017",4,282.816666666667,"svars"
"tjaderleksmossen","jkn","plot_111","second","first","2017",34,144.366666666667,"blams"
"tjaderleksmossen","jkn","plot_111","second","first","2017",34,144.9,"talge"
"tjaderleksmossen","jkn","plot_113","second","first","2017",34,191.216666666667,"rodhe"
"tjaderleksmossen","jkn","plot_113","second","first","2017",34,190.7,"domhe"
"tjaderleksmossen","jkn","plot_113","second","first","2017",34,189.233333333333,"talge"
"tjaderleksmossen","jkn","plot_113","second","first","2017",34,189.433333333333,"gardg"
"tjaderleksmossen","jkn","plot_113","second","first","2017",34,193.783333333333,"tofss"
"tjaderleksmossen","jkn","plot_114","second","first","2017",34,22.8833333333333,"rodhe"
"tjaderleksmossen","jkn","plot_114","second","first","2017",34,23.2333333333333,"blams"
"tjaderleksmossen","jkn","plot_114","second","first","2017",34,24.0833333333333,"bofik"
"tjaderleksmossen","jkn","plot_115","second","first","2017",34,57.5,"no_obs"
"tjaderleksmossen","jkn","plot_124","second","first","2017",34,103.416666666667,"talge"
"tjaderleksmossen","jkn","plot_124","second","first","2017",34,103.1,"gardg"
"tjaderleksmossen","jkn","plot_124","second","first","2017",34,104.4,"bofik"
"tjaderleksmossen","jkn","plot_124","second","first","2017",34,105.883333333333,"trapa"
"stocksatra","jkn","plot_125","first","first","2017",5,46.2333333333333,"bofik"
"stocksatra","jkn","plot_125","first","first","2017",5,44.8333333333333,"gardg"
"stocksatra","jkn","plot_125","first","first","2017",5,44.3166666666667,"kungl"
"stocksatra","jkn","plot_125","first","first","2017",5,46.8833333333333,"tofss"
"kyrkstigen","jkn","plot_50","first","first","2017",5,122.783333333333,"bofik"
"kyrkstigen","jkn","plot_52","first","first","2017",5,160.966666666667,"bofik"
"kyrkstigen","jkn","plot_53","first","first","2017",5,204.783333333333,"bofik"
"kyrkstigen","jkn","plot_53","first","first","2017",5,204.983333333333,"trake"
"kyrkstigen","jkn","plot_53","first","first","2017",5,204.316666666667,"gardg"
"kyrkstigen","jkn","plot_53","first","first","2017",5,200.416666666667,"talge"
"kyrkstigen","jkn","plot_55","first","first","2017",5,248.5,"kungl"
"kyrkstigen","jkn","plot_55","first","first","2017",5,248.916666666667,"rodhe"
"kyrkstigen","jkn","plot_55","first","first","2017",5,248.716666666667,"bofik"
"kyrkstigen","jkn","plot_58","first","first","2017",5,288.766666666667,"bofik"
"kyrkstigen","jkn","plot_58","first","first","2017",5,288.283333333333,"trake"
"kyrkstigen","jkn","plot_58","first","first","2017",5,289.616666666667,"talge"
"kyrkstigen","jkn","plot_58","first","first","2017",5,292.183333333333,"svars"
"kyrkstigen","jkn","plot_118","second","first","2017",35,68.5,"jarnv"
"kyrkstigen","jkn","plot_50","second","first","2017",35,298.466666666667,"talge"
"kyrkstigen","jkn","plot_50","second","first","2017",35,298.016666666667,"bofik"
"kyrkstigen","jkn","plot_52","second","first","2017",35,262.066666666667,"bofik"
"kyrkstigen","jkn","plot_53","second","first","2017",35,221.7,"bofik"
"kyrkstigen","jkn","plot_53","second","first","2017",35,223.933333333333,"svara"
"kyrkstigen","jkn","plot_53","second","first","2017",35,220.583333333333,"talge"
"kyrkstigen","jkn","plot_53","second","first","2017",35,220.95,"talla"
"kyrkstigen","jkn","plot_55","second","first","2017",35,178.45,"no_obs"
"kyrkstigen","jkn","plot_56","second","first","2017",35,107.1,"tofss"
"kyrkstigen","jkn","plot_56","second","first","2017",35,103.716666666667,"rodhe"
"kyrkstigen","jkn","plot_58","second","first","2017",35,146.1,"gardg"
"kyrkstigen","jkn","plot_58","second","first","2017",35,144.333333333333,"svars"
"kyrkstigen","jkn","plot_58","second","first","2017",35,145.1,"bofik"
"kyrkstigen","jkn","plot_58","second","first","2017",35,142.3,"talge"
"kyrkstigen","jkn","plot_60","second","first","2017",35,33.5666666666667,"bofik"
"halqved","jkn","plot_1","fourth","first","2019",66,3.73333333333333,"talge"
"halqved","jkn","plot_33","fourth","first","2019",66,104.066666666667,"talge"
"halqved","jkn","plot_33","fourth","first","2019",66,104.4,"spark"
"halqved","jkn","plot_33","fourth","first","2019",66,100.216666666667,"bofik"
"halqved","jkn","plot_33","fourth","first","2019",66,101.45,"rodhe"
"halqved","jkn","plot_33","fourth","first","2019",66,101.866666666667,"koltt"
"halqved","jkn","plot_33","fourth","first","2019",66,103.95,"blams"
"halqved","jkn","plot_36","fourth","first","2019",66,119.35,"rodhe"
"halqved","jkn","plot_36","fourth","first","2019",66,118.516666666667,"talge"
"halqved","jkn","plot_37","fourth","first","2019",66,143.366666666667,"bofik"
"halqved","jkn","plot_4","fourth","first","2019",66,82.7666666666667,"kungl"
"halqved","jkn","plot_4","fourth","first","2019",66,79.7666666666667,"gardg"
"halqved","jkn","plot_6","fourth","first","2019",66,40.8833333333333,"stort"
"halqved","jkn","plot_6","fourth","first","2019",66,39.9333333333333,"talge"
"halqved","jkn","plot_8","fourth","first","2019",66,59.65,"no_obs"
"kilsjon","jkn","plot_83","fourth","first","2019",66,226.083333333333,"bofik"
"kilsjon","jkn","plot_83","fourth","first","2019",66,226.116666666667,"talge"
"kilsjon","jkn","plot_83","fourth","first","2019",66,226.783333333333,"talla"
"kilsjon","jkn","plot_83","fourth","first","2019",66,227.35,"tofss"
"kilsjon","jkn","plot_85","fourth","first","2019",66,249.7,"svare"
"kilsjon","jkn","plot_87","fourth","first","2019",66,296.783333333333,"talge"
"kilsjon","jkn","plot_88","fourth","first","2019",66,272.516666666667,"talge"
"kyrkstigen","jkn","plot_118","first","first","2017",6,66.0833333333333,"bofik"
"kyrkstigen","jkn","plot_118","first","first","2017",6,65.7,"blams"
"kyrkstigen","jkn","plot_118","first","first","2017",6,65.3,"grona"
"kyrkstigen","jkn","plot_118","first","first","2017",6,68.2333333333333,"tofss"
"kyrkstigen","jkn","plot_118","first","first","2017",6,69.5333333333333,"rodhe"
"kyrkstigen","jkn","plot_118","first","first","2017",6,68.7666666666667,"talge"
"kyrkstigen","jkn","plot_122","first","first","2017",6,162.133333333333,"bofik"
"kyrkstigen","jkn","plot_122","first","first","2017",6,166.066666666667,"talge"
"kyrkstigen","jkn","plot_122","first","first","2017",6,162.333333333333,"tofss"
"kyrkstigen","jkn","plot_56","first","first","2017",6,30.55,"bofik"
"kyrkstigen","jkn","plot_60","first","first","2017",6,107.683333333333,"rodhe"
"kyrkstigen","jkn","plot_60","first","first","2017",6,107.166666666667,"bofik"
"kyrkstigen","jkn","plot_60","first","first","2017",6,103.116666666667,"svars"
"kilsjon","jkn","plot_85","first","first","2017",6,311.866666666667,"bofik"
"kilsjon","jkn","plot_85","first","first","2017",6,312.216666666667,"taltt"
"kilsjon","jkn","plot_85","first","first","2017",6,315.8,"gardg"
"kilsjon","jkn","plot_85","first","first","2017",6,312.566666666667,"talla"
"kilsjon","jkn","plot_87","first","first","2017",6,235.833333333333,"bofik"
"kilsjon","jkn","plot_87","first","first","2017",6,236.95,"talla"
"kilsjon","jkn","plot_87","first","first","2017",6,240.433333333333,"talge"
"kilsjon","jkn","plot_87","first","first","2017",6,239.8,"grona"
"kilsjon","jkn","plot_88","first","first","2017",6,274.45,"tofss"
"stocksatra","jkn","plot_104","second","first","2017",36,79.0166666666667,"bofik"
"stocksatra","jkn","plot_104","second","first","2017",36,79.45,"rodhe"
"stocksatra","jkn","plot_104","second","first","2017",36,80.1166666666667,"tofss"
"stenby","jkn","plot_119","second","first","2017",36,309.483333333333,"bofik"
"stenby","jkn","plot_119","second","first","2017",36,308.883333333333,"svars"
"kyrkstigen","jkn","plot_122","second","first","2017",36,199.65,"talge"
"stocksatra","jkn","plot_123","second","first","2017",36,3.45,"talge"
"stocksatra","jkn","plot_123","second","first","2017",36,3.85,"rodhe"
"stocksatra","jkn","plot_123","second","first","2017",36,4.1,"bofik"
"stocksatra","jkn","plot_125","second","first","2017",36,39.9,"talge"
"stocksatra","jkn","plot_46","second","first","2017",36,120.066666666667,"bofik"
"stocksatra","jkn","plot_46","second","first","2017",36,119.45,"rodhe"
"stocksatra","jkn","plot_46","second","first","2017",36,117.333333333333,"kungl"
"stocksatra","jkn","plot_46","second","first","2017",36,121.3,"talge"
"stocksatra","jkn","plot_49","second","first","2017",36,158.783333333333,"talge"
"stocksatra","jkn","plot_49","second","first","2017",36,156.4,"tofss"
"stocksatra","jkn","plot_49","second","first","2017",36,159.45,"bofik"
"stenby","jkn","plot_71","second","first","2017",36,270.333333333333,"blams"
"stenby","jkn","plot_71","second","first","2017",36,267.583333333333,"bofik"
"stenby","jkn","plot_72","second","first","2017",36,341.383333333333,"rodhe"
"stenby","jkn","plot_72","second","first","2017",36,342.816666666667,"kungl"
"stenby","jkn","plot_72","second","first","2017",36,344.533333333333,"notva"
"stenby","jkn","plot_72","second","first","2017",36,345.916666666667,"blams"
"stenby","jkn","plot_72","second","first","2017",36,344.766666666667,"bofik"
"kilsjon","jkn","plot_83","fourth","first","2017",67,279.733333333333,"bofik"
"kilsjon","jkn","plot_83","fourth","first","2017",67,283.683333333333,"rodhe"
"kilsjon","jkn","plot_85","fourth","first","2017",67,235.383333333333,"kungl"
"kilsjon","jkn","plot_87","fourth","first","2017",67,151.683333333333,"talge"
"kilsjon","jkn","plot_87","fourth","first","2017",67,153.016666666667,"grona"
"kilsjon","jkn","plot_88","fourth","first","2017",67,184.666666666667,"svars"
"kilsjon","jkn","plot_88","fourth","first","2017",67,184.866666666667,"talla"
"kilsjon","jkn","plot_88","fourth","first","2017",67,185.116666666667,"bofik"
"kilsjon","jkn","plot_88","fourth","first","2017",67,185.216666666667,"lovse"
"kilsjon","jkn","plot_88","fourth","first","2017",67,186.7,"talge"
"kilsjon","jkn","plot_88","fourth","first","2017",67,187.55,"svara"
"kilsjon","jkn","plot_88","fourth","first","2017",67,188.683333333333,"kungl"
"tjaderleksmossen","jkn","plot_111","fifth","first","2018",67,355.1,"jarnv"
"tjaderleksmossen","jkn","plot_111","fifth","first","2018",67,356.45,"rodhe"
"tjaderleksmossen","jkn","plot_113","fifth","first","2018",67,282,"gardg"
"tjaderleksmossen","jkn","plot_113","fifth","first","2018",67,282.166666666667,"bofik"
"tjaderleksmossen","jkn","plot_113","fifth","first","2018",67,282.616666666667,"rodhe"
"tjaderleksmossen","jkn","plot_113","fifth","first","2018",67,285.416666666667,"talge"
"tjaderleksmossen","jkn","plot_114","fifth","first","2018",67,225.883333333333,"rodhe"
"tjaderleksmossen","jkn","plot_114","fifth","first","2018",67,224.9,"bofik"
"tjaderleksmossen","jkn","plot_115","fifth","first","2018",67,247.7,"rodhe"
"tjaderleksmossen","jkn","plot_115","fifth","first","2018",67,243.25,"bofik"
"tjaderleksmossen","jkn","plot_124","fifth","first","2018",67,325.583333333333,"trapa"
"tjaderleksmossen","jkn","plot_124","fifth","first","2018",67,327.583333333333,"svare"
"brudgatan","jkn","plot_38","fifth","first","2018",67,62.9833333333333,"blams"
"brudgatan","jkn","plot_38","fifth","first","2018",67,62.7666666666667,"rodhe"
"brudgatan","jkn","plot_39","fifth","first","2018",67,39.9,"blams"
"brudgatan","jkn","plot_39","fifth","first","2018",67,38.5666666666667,"bofik"
"brudgatan","jkn","plot_39","fifth","first","2018",67,40.2166666666667,"talge"
"brudgatan","jkn","plot_42","fifth","first","2018",67,-7.05,"no_obs"
"brudgatan","jkn","plot_45","fifth","first","2018",67,17.3166666666667,"kungl"
"brudgatan","jkn","plot_45","fifth","first","2018",67,14.9333333333333,"rodhe"
"kilsjon","jkn","plot_83","fifth","first","2018",67,176.566666666667,"rodhe"
"kilsjon","jkn","plot_83","fifth","first","2018",67,176.716666666667,"kungl"
"kilsjon","jkn","plot_85","fifth","first","2018",67,158,"talge"
"kilsjon","jkn","plot_85","fifth","first","2018",67,158.3,"koltt"
"kilsjon","jkn","plot_87","fifth","first","2018",67,117.283333333333,"kungl"
"kilsjon","jkn","plot_87","fifth","first","2018",67,118.45,"trapa"
"kilsjon","jkn","plot_87","fifth","first","2018",67,119.533333333333,"talge"
"kilsjon","jkn","plot_88","fifth","first","2018",67,134.733333333333,"lovse"
"kilsjon","jkn","plot_88","fifth","first","2018",67,135.616666666667,"talla"
"kilsjon","jkn","plot_88","fifth","first","2018",67,136.116666666667,"jarnv"
"kilsjon","jkn","plot_88","fifth","first","2018",67,137.133333333333,"bofik"
"tjaderleksmossen","jkn","plot_111","fourth","first","2019",67,200.716666666667,"tofss"
"tjaderleksmossen","jkn","plot_111","fourth","first","2019",67,200.966666666667,"talge"
"tjaderleksmossen","jkn","plot_113","fourth","first","2019",67,258.8,"blams"
"tjaderleksmossen","jkn","plot_113","fourth","first","2019",67,260.933333333333,"bofik"
"tjaderleksmossen","jkn","plot_114","fourth","first","2019",67,154.283333333333,"talge"
"tjaderleksmossen","jkn","plot_114","fourth","first","2019",67,156.916666666667,"svars"
"tjaderleksmossen","jkn","plot_114","fourth","first","2019",67,157.816666666667,"ringa"
"tjaderleksmossen","jkn","plot_114","fourth","first","2019",67,154.5,"svare"
"tjaderleksmossen","jkn","plot_115","fourth","first","2019",67,173.65,"gardg"
"tjaderleksmossen","jkn","plot_115","fourth","first","2019",67,173.8,"svare"
"tjaderleksmossen","jkn","plot_115","fourth","first","2019",67,172.35,"bofik"
"tjaderleksmossen","jkn","plot_124","fourth","first","2019",67,224.9,"trapa"
"orsjon","jkn","plot_73","fourth","first","2019",67,94.2,"talge"
"orsjon","jkn","plot_73","fourth","first","2019",67,95.4833333333333,"rodhe"
"orsjon","jkn","plot_73","fourth","first","2019",67,94.0666666666667,"blams"
"orsjon","jkn","plot_73","fourth","first","2019",67,93.7166666666667,"grafe"
"orsjon","jkn","plot_73","fourth","first","2019",67,98.15,"kungl"
"orsjon","jkn","plot_74","fourth","first","2019",67,78.8333333333333,"talge"
"orsjon","jkn","plot_74","fourth","first","2019",67,79,"grafe"
"orsjon","jkn","plot_74","fourth","first","2019",67,77.5833333333333,"stort"
"orsjon","jkn","plot_74","fourth","first","2019",67,76.75,"blams"
"orsjon","jkn","plot_74","fourth","first","2019",67,76.4666666666667,"koltt"
"orsjon","jkn","plot_74","fourth","first","2019",67,75.8666666666667,"gardg"
"orsjon","jkn","plot_75","fourth","first","2019",67,58.4166666666667,"lovse"
"orsjon","jkn","plot_75","fourth","first","2019",67,58.5833333333333,"blams"
"orsjon","jkn","plot_75","fourth","first","2019",67,59.3,"bofik"
"orsjon","jkn","plot_75","fourth","first","2019",67,61.8333333333333,"stort"
"orsjon","jkn","plot_79","fourth","first","2019",67,38.1666666666667,"talge"
"orsjon","jkn","plot_79","fourth","first","2019",67,37.7166666666667,"dubbt"
"orsjon","jkn","plot_79","fourth","first","2019",67,34.7,"bofik"
"tjaderleksmossen","jkn","plot_111","first","first","2017",7,198.85,"svars"
"tjaderleksmossen","jkn","plot_111","first","first","2017",7,199.65,"rodhe"
"tjaderleksmossen","jkn","plot_111","first","first","2017",7,203.85,"blams"
"tjaderleksmossen","jkn","plot_111","first","first","2017",7,203.35,"bofik"
"tjaderleksmossen","jkn","plot_113","first","first","2017",7,262.9,"bofik"
"tjaderleksmossen","jkn","plot_113","first","first","2017",7,263.083333333333,"notsa"
"tjaderleksmossen","jkn","plot_113","first","first","2017",7,265.783333333333,"trake"
"tjaderleksmossen","jkn","plot_113","first","first","2017",7,265.983333333333,"kungl"
"tjaderleksmossen","jkn","plot_114","first","first","2017",7,52.4333333333333,"gardg"
"tjaderleksmossen","jkn","plot_114","first","first","2017",7,50.4833333333333,"taltt"
"tjaderleksmossen","jkn","plot_114","first","first","2017",7,50.8,"jarnv"
"tjaderleksmossen","jkn","plot_114","first","first","2017",7,51.8333333333333,"bofik"
